"","track","key","key_duration","chord","chord_duration","tempo"
"11","guster2006-04-21d1t03.mk21","A major, A minor, C major, C minor, Db major, E minor, F major, G major, G minor, G# minor","11.145578231, 62.415238096, 114.427936509, 4.45823129199999, 0.743038548, 2.22911564599997, 18.575963719, 16.346848072, 0, 1.48607709700002","A, Am, Am7, C, C6, Cmaj7, E6, Em, F, Fmaj7, G","3.94739229, 10.495419502, 35.944489798, 48.483265307, 4.41179138300001, 7.56970521599999, 4.08671201800001, 17.04344671, 36.362448978, 7.894784581, 22.616235827",131.159045454545
"12","guster2006-06-19t06","A major, A minor, B major, C major, C minor, C# minor, D major, F# minor","14.117732427, 11.88861678, 1.48607709800001, 155.295056689, 35.66585034, 26.006349206, 13.374693877, 14.860770975","Abdim7/Gb, Am, Am7, B/F#, C, C/E, C/G, C#m, C#m7, C6, Cmaj7, D6, D7/F#, E7, E7/G#, Em, Em7, F, F#, F#6, F#dim7, F#m, Fmaj7, G, G7, Gm7, Gmaj7","1.34675736899999, 14.4892517, 18.0186848069999, 0.557278911999987, 65.712471655, 0.882358276999994, 0.557278912000001, 4.87619047600006, 3.34367346900001, 10.170340136, 4.597551021, 0.975238094999995, 47.322267574, 0.278639455999993, 0.743038549000005, 14.3499319740001, 6.73378684900003, 25.6348299309999, 13.653333333, 2.22911564699999, 4.040272109, 7.70902494299995, 3.34367347, 24.706031744, 0.371519274000008, 0.464399092999997, 0.325079365000001",134.424785454545
"13","guster2006-06-20-dise-t07","A major, B major, C major, C minor, C# minor, D major, D minor, F minor, G major","12.631655328, 4.45823129199999, 159.010249432, 45.325351474, 0.743038549000005, 31.207619048, 3.71519274399999, 5.94430838999997, 11.888616781","A7, Am, Am7, Amaj7, B7/D#, Bb7/D, Bbdim7/Ab, Bmaj7, C, C#, C6, Cm, Cmaj7, Dm7, E7/G#, Eb/F, Eb7/G, Edim7/D, Em, Em6, Em7, F, F6, F7, Fmaj7, G, G7/B, Gmaj7","1.671836735, 5.43346938800001, 24.427392289, 1.718276644, 1.11455782400002, 1.06811791299998, 2.97215419500003, 3.06503401399999, 65.573151925, 0.975238095000009, 1.904036281, 9.14866213200001, 7.94122448999997, 1.48607709699999, 0.278639456000008, 0.417959183000001, 1.90403628099997, 5.38702947900001, 11.656417235, 1.904036281, 19.82984127, 8.870022675, 5.24770975, 1.85759637199999, 9.47374149599997, 27.213786851, 0.603718821000001, 11.23845805",135.717541666667
"14","guster2006-06-20mix-t07","A minor, Bb major, C major, C minor, D major, E minor, G major, G minor","6.68734693900001, 0.743038549000005, 142.663401359, 42.353197279, 14.860770975, 5.94430839, 23.034195012, 5.94430838999997","Adim7/G, Am, Am7, C, C/E, C#dim7, C6, Cm6, Cmaj7, D6, Ddim7/C, Dmaj7, Ebmaj7, Em, Emaj7, F, F/C, F7, F7/A, Fmaj7, G, G7/B, Gm, Gmaj7","4.133151927, 6.45514739300001, 26.284988661, 57.771247167, 0.882358276000001, 1.16099773300002, 18.668843538, 2.92571428500003, 6.36226757499999, 0.325079364999993, 1.57895691599998, 2.972154195, 2.50775510199998, 23.962993197, 1.30031746100002, 17.275646257, 1.71827664399999, 0.603718821000001, 0.789478458000019, 5.15482993199998, 35.340770974, 4.31891156399999, 0.789478457999991, 3.39011337899998",176.281638888889
"15","guster2006-06-21.wclz.t03","A major, Ab major, Bb major, C major, C minor, D major, D minor","0.743038549000005, 7.43038548799998, 15.603809524, 193.933061225, 27.492426303, 32.693696144, 5.94430839","A, Ab, Abmaj7, Am, Am7, Amaj7, Baug, Bb6, Bbmaj7, Bmaj7, C, C#m, C6, Cmaj7, Dm7, Em, Emaj7, F, F#m, Fmaj7, G, Gmaj7","0.417959184000011, 0.603718821000001, 1.393197278, 7.66258503399997, 31.81133787, 3.25079365099998, 0.789478457999991, 0.743038549000005, 0.650158729999987, 0.789478458000019, 65.294512473, 1.06811791399997, 5.01551020499997, 15.278730158, 0.464399092999997, 19.086802721, 1.85759637200002, 33.854693874, 1.39319727899999, 4.04027210900003, 24.798911564, 1.068117914",121.035042553191
"16","guster2006-06-21bm-t07","A minor, B major, C major, C minor, C# minor, D major, Db major, E major, E minor, Eb / D# minor, Eb major, F major, F# / Gb major, G major","17.832925171, 18.5759637200001, 133.746938774, 59.443083901, 34.922811791, 7.43038548800001, 3.71519274399998, 11.145578232, 7.430385487, 4.45823129199999, 13.374693877, 5.94430838899999, 9.65950113400001, 5.201269841","A, Abaug, Adim7, Am, Am7, B7/D#, Bbdim7, Bbm6, Bbm7, Bbmaj7, Bmaj7, C, C6, Cdim7/Bb, Cm, Cm6, Cmaj7, D, D7/F#, E, Eb, Eb6, Eb7, Eb7/G, Ebm6, Ebmaj7, Em, Em7, Emaj7, F, F/C, F#, F#dim7/E, F7, G, Gaug, Gmaj7","5.340589569, 0.928798185999995, 3.29723356, 7.84834467199998, 13.560453516, 1.43963718699999, 0.743038549000005, 1.11455782299998, 0.371519275000026, 1.06811791399997, 6.45514739099998, 48.529705214, 9.38086167900001, 5.94430839, 4.50467120299999, 4.69043083899999, 13.653333334, 2.08979591900002, 4.87619047600002, 0.696598639999991, 1.439637189, 4.040272108, 1.76471655300003, 4.22603174600002, 3.993832199, 8.40562358300004, 11.9350566879999, 1.81115646200001, 2.92571428499997, 29.953741497, 2.97215419499998, 1.764716553, 2.04335600900001, 2.50775510199998, 12.956734694, 1.48607709800001, 12.353015873",140.433338461538
"17","guster2006-06-22.worldcafe.t03","A major, A minor, Bb minor, C major, C minor, C# minor, Db major, F major, F minor, F# / Gb major","5.94430838899999, 0.743038549000005, 5.201269841, 179.815328798, 41.61015873, 4.45823129300001, 0, 5.94430839, 0.743038549000005, 0.743038549000005","Abmaj7, Am, Am7, Amaj7, Bbmaj7, C, C/E, C/G, C6, Cm, Cmaj7, D6, E/B, E7, Em, F, F#maj7, Fm, Fmaj7, G, G6","2.04335600900001, 16.486167802, 15.650249433, 0.789478457999991, 3.39011337900001, 74.6753741510001, 1.02167800399999, 0.510839002000004, 6.82666666600001, 0.278639455999999, 10.774058957, 0.371519273999994, 0.789478457999991, 0.325079364999993, 19.133242633, 20.247800452, 0.371519273999979, 0.464399092999997, 8.45206349100002, 23.684353739, 1.43963718899998",129.205916666667
"18","guster2006-06-22d1t01","A minor, Ab major, C major, C minor, D minor, Db major, F major, F minor, F# / Gb major, G minor","85.449433106, 5.94430839, 83.963356009, 20.805079365, 10.402539683, 0.743038548000015, 17.832925169, 12.63165533, 4.45823129299998, 1.48607709699999","Am, Am7, C, C6, Cdim7, Cmaj7, D7/F#, Dm7, E7, Em, Em7, F, F/C, F#dim7, F6, Fmaj7, G, G6","26.656507938, 5.80498866100004, 56.656689342, 18.854603175, 20.247800455, 13.003174606, 3.111473923, 0.603718821000001, 0.417959182999994, 15.464489797, 6.08362811899998, 26.610068023, 3.25079364999999, 2.73995464900003, 6.78022675699999, 8.73070294799999, 25.263310656, 1.53251700700002",134.689625
"19","guster2006-06-23t05","A major, Ab major, B major, Bb major, C major, C minor, D major, D minor, Db major, F major, F# / Gb major, F# minor, G major, G minor","14.117732425, 3.71519274400001, 9.65950113399998, 8.17342403700002, 168.669750567, 34.922811792, 38.638004535, 0.743038548, 14.117732426, 2.972154195, 0.743038548999976, 5.94430839, 6.68734693800002, 6.68734693899998","Am, Am7, B7/D#, Bm6, C, C/E, C/G, C#maj7, C6, Cmaj7, D7, D7/F#, Ddim7/C, Dmaj7, E/B, Ebdim7, Em, Em7, F, F/C, F#m7, Fmaj7, G, G6, G7","22.151836734, 5.154829931, 0.464399092999997, 1.71827664400001, 68.359546487, 1.20743764100001, 0.325079365000001, 0.603718820999973, 12.260136056, 16.346848072, 4.92263038499999, 3.52943310600003, 1.764716553, 18.901043083, 2.04335600899999, 0.975238095000009, 14.953650796, 4.690430839, 18.250884354, 3.29723356, 3.43655328799997, 13.281814058, 29.58222222, 5.29414966000002, 3.62231292600001",130.916867924528
"20","guster2006-06-30.kcrwweb.t10","A minor, C major, C minor, D major, G major","1.486077098, 176.843174602, 28.978503402, 0, 8.916462585","Ab, Am, Am7, B7/D#, Bm, C, C6, Cmaj7, Em, Em7, F, F7, Fmaj7, G","0.278639456000008, 15.046530613, 18.390204083, 0.510839001999997, 5.66566893300001, 77.322448977, 10.913378685, 1.71827664400001, 17.08988662, 5.479909298, 16.300408163, 1.71827664400001, 10.866938776, 24.473832201",123.23919047619
