id,Track Name,Performance Date,Track duration,Tempo,Max Key,Keys,Key_durations
13,Zero,1995-10-23,413.373333,156.91588214921964,4,"['C', 'Db / C#', 'Eb / D#', 'F', 'G', 'Ab / G#', 'Bb', 'Dbm / C#m', 'Em', 'Fm']","[1.486077098, 11.145578231999991, 259.32045351499994, 11.88861678, 4.458231291999994, 11.888616780000007, 91.393741496, 9.160362478000025, 1.4860770980000098, 11.145578231000002]"
14,Zero,1995-12-12,154.68,142.16334137573602,16,"['Db / C#', 'Eb / D#', 'E', 'B/Cb', 'Ebm / D#m', 'Abm / G#m']","[12.631655328999997, 12.759637188000003, 2.229115645999997, 1.486077098, 118.88616780100001, 6.687346938]"
15,Zero,1996-01-02,152.866667,141.77970124121856,16,"['Db / C#', 'D', 'Eb / D#', 'Gb / F#', 'G', 'Ab / G#', 'A', 'Ebm / D#m', 'Em', 'Bbm']","[22.291156463, 16.346848072, 11.888616780000003, 1.486077096999999, 6.687346940000003, 12.631655329, 37.89496598600001, 41.41088468699999, 1.486077097, 0.743038549]"
16,Zero,1996-01-05,159.413333,142.66533691432514,4,"['Eb / D#', 'E', 'B/Cb', 'Ebm / D#m', 'Abm / G#m']","[117.40009070300002, 1.4860770979999955, 3.715192743000003, 31.61070261499998, 5.201269841]"
17,Zero,1996-01-12,163.893447,131.395507187238,16,"['Bb', 'B/Cb', 'Ebm / D#m', 'Em', 'Am', 'Bbm']","[5.201269841, 58.381973077000005, 95.851972789, 2.972154196, 0.7430385479999999, 0.7430385489999978]"
18,Zero,1996-01-13,171.226667,136.15006963588107,4,"['Eb / D#', 'E', 'Ebm / D#m', 'Em', 'Fm']","[119.213968587, 7.430385488000013, 40.86712018099998, 2.972154195, 0.743038549]"
19,Zero,1996-02-02,154.72,143.10605918685758,16,"['E', 'B/Cb', 'Ebm / D#m', 'Em', 'Abm / G#m']","[11.145578232000005, 12.631655328000008, 122.76934240399999, 3.715192744, 4.458231292000001]"
20,Zero,1996-02-03,152.453333,143.52476653736068,5,"['Eb / D#', 'E', 'Bb', 'B/Cb', 'Ebm / D#m', 'Em', 'Gm', 'Abm / G#m']","[10.532970188999997, 48.297505668999975, 4.458231292999997, 4.458231293000011, 47.554467118999995, 7.430385486999992, 11.145578231000002, 18.575963719000015]"
21,Zero,1996-02-06,151.746667,142.06048566064013,16,"['Db / C#', 'Eb / D#', 'Bb', 'B/Cb', 'Cm', 'Ebm / D#m', 'Em']","[5.2012698409999985, 22.291156463000004, 5.201269841, 20.97188241899999, 13.374693877999995, 69.84562358300002, 14.860770974999994]"
22,Zero,1996-02-07,160.84,139.12973515296136,16,"['Db / C#', 'Gb / F#', 'B/Cb', 'Cm', 'Ebm / D#m', 'Em', 'Bm/Cbm']","[1.486077098, 2.972154195, 32.693696143000025, 6.687346938999994, 88.42158730299997, 21.891791384000022, 6.68734693799999]"
23,Zero,1996-02-09,157.533333,142.98171836394513,21,"['Db / C#', 'E', 'Ebm / D#m', 'Em', 'Abm / G#m', 'Bbm']","[8.916462585000005, 2.2291156469999995, 41.61015873000001, 2.238276310999993, 100.310204081, 2.229115646]"
