id,Track Name,Performance Date,Track duration,Tempo,Max Key,Keys,Key_durations
0,Ripple,1970-08-18,259.586667,123.032970310228,8,"['D', 'G', 'Cm', 'Gm']","[79.505124715, 154.818231627, 15.603809523999985, 9.65950113400001]"
1,Ripple,1970-08-19,263.573333,120.96741484499985,1,"['C', 'D', 'G', 'Cm', 'Gm']","[149.35074829899997, 23.777233560000003, 65.92507903200001, 6.687346939000001, 17.83292517]"
2,Ripple ->,1970-08-19,255.866667,124.08274822532951,2,"['Db / C#', 'Eb / D#', 'Ab / G#', 'Dbm / C#m', 'Ebm / D#m', 'Abm / G#m']","[155.55646291699998, 4.458231293000011, 55.727891157000016, 27.492426303999988, 2.9721541950000017, 9.659501134000003]"
3,Ripple->,1970-08-19,255.866667,124.09860991064484,2,"['Db / C#', 'Eb / D#', 'Ab / G#', 'Cm', 'Dbm / C#m', 'Ebm / D#m', 'Abm / G#m']","[159.271655663, 0.743038547999987, 46.81142857100002, 2.229115646999986, 26.749387755000015, 5.944308389999999, 14.117732426]"
4,Ripple,1970-09-17,275.506667,125.9495054029865,1,"['C', 'Db / C#', 'D', 'G', 'Ab / G#', 'Cm', 'Dm', 'Ebm / D#m', 'Em', 'Gm', 'unknown']","[136.71909296900003, 65.38739229099998, 12.631655329000012, 28.978503400999976, 12.63165532899999, 5.944308390000003, 0.7430385490000049, 0.5824039610000113, 5.201269841999988, 5.944308390000003, 0.743038549]"
5,Ripple,1970-09-17,355.853333,126.4413622111024,1,"['C', 'Db / C#', 'D', 'Eb / D#', 'F', 'Gb / F#', 'G', 'Ab / G#', 'Bb', 'B/Cb', 'Cm', 'Dbm / C#m', 'Dm', 'Fm', 'Gbm / F#m', 'Bm/Cbm', 'unknown']","[158.26721088400004, 96.595011338, 18.51383186600006, 2.9721541949999732, 6.687346939000008, 3.7151927429999887, 12.631655328999983, 3.715192743999978, 10.402539681999997, 17.08988662200005, 4.458231292999983, 2.2291156459999684, 6.687346939000008, 8.173424036000029, 0.7430385490000049, 0.743038548999948, 2.229115646]"
6,Ripple*,1970-09-17,359.506667,126.41340989396878,1,"['C', 'Db / C#', 'D', 'F', 'Gb / F#', 'G', 'Bb', 'B/Cb', 'Cm', 'Dm', 'Gm', 'Bbm']","[211.7659863940001, 6.687346938999951, 5.2012698419999595, 16.34684807399998, 3.715192744000035, 59.443083896999994, 13.993741829999976, 3.715192743999978, 22.291156462000004, 11.14557823200002, 2.229115646, 2.9721541960000195]"
7,Ripple,1970-11-07,253.68,122.74529370483101,1,"['C', 'D', 'G', 'Dm', 'Gm', 'Am']","[189.77868480600003, 7.4303854870000094, 8.916462583999994, 31.20761904999998, 14.117732427, 2.229115646]"
8,Ripple,1970-11-07,261.853333,119.03825239643525,13,"['D', 'G', 'Cm', 'Dm']","[8.173424036, 30.4645805, 188.29251667300005, 34.92281179099999]"
9,Ripple,1970-11-08,263.853333,121.08587341662722,8,"['C', 'D', 'G', 'Cm', 'Em', 'Gm']","[29.72154195200001, 21.54811791499999, 180.55836734500002, 12.706303520999995, 14.117732425999979, 5.201269841000027]"
10,Ripple,1970-11-08,360.946667,120.2083127732246,1,"['C', 'D', 'E', 'G', 'Bb', 'Cm', 'Dm', 'Ebm / D#m', 'Em', 'Gm', 'Am']","[236.28625850199995, 44.582312926000064, 7.260317794000002, 20.062040815999985, 8.173424037000018, 5.201269843000002, 6.687346938000005, 6.687346937999962, 1.4860770970000026, 11.145578231000002, 13.374693878000002]"
11,Ripple,1970-11-08,265.28,120.6187068675482,13,"['C', 'D', 'G', 'Cm', 'Em', 'Gm', 'unknown']","[7.430385486999995, 12.631655328999997, 100.31020408300002, 108.49886621099996, 0.743038549, 23.034195011999984, 12.631655329000012]"
12,Ripple,1970-11-08,266.146667,121.91098649961495,1,"['C', 'D', 'G', 'Cm']","[174.009886954, 52.01269841299998, 11.145578231999977, 28.97850340100002]"
13,Ripple,1970-11-08,337.693333,122.60926680447564,13,"['D', 'Eb / D#', 'E', 'G', 'B/Cb', 'Cm', 'Dbm / C#m', 'Dm', 'Gm', 'Bbm', 'Bm/Cbm']","[62.769069959999996, 8.916462585000033, 1.4860770980000098, 71.33170068099997, 4.458231291999937, 147.121632653, 3.715192744000035, 2.9721541950000017, 23.77723356099999, 0.743038549, 10.402539681999997]"
14,Ripple,1970-11-08,335.04,126.3956722523746,1,"['C', 'D', 'E', 'G', 'Bb', 'Cm', 'Dm', 'Em', 'Gm', 'Bm/Cbm']","[159.753287984, 95.03854875100001, 16.346848073000046, 0.7430385479999999, 2.9721541949999732, 43.096235827, 5.201269841000006, 1.4860770980000098, 0.743038549, 9.659501133999981]"
15,Ripple,1970-11-08,265.4,121.51152118725834,8,"['C', 'D', 'Eb / D#', 'G', 'Cm', 'Dm', 'Gm', 'Am', 'unknown']","[18.575963718999997, 9.659501133999996, 0.8782766439999818, 127.80263038600003, 83.96335600699999, 8.173424036999997, 14.86077097499998, 0.743038549, 0.7430385490000049]"
16,Ripple,1971-02-21,370.266667,125.29807958253564,8,"['C', 'D', 'Eb / D#', 'E', 'F', 'G', 'Dm', 'Ebm / D#m', 'Em']","[97.3380498869999, 6.687346939000008, 1.486077098, 13.374693878000002, 8.173424035, 215.7146488590001, 2.972154194999966, 2.972154194999998, 21.548117914000002]"
17,Ripple,1971-02-21,370.426667,124.79492771040807,8,"['D', 'F', 'G', 'Cm', 'Dm', 'Em', 'Am', 'Bm/Cbm']","[19.31900226800002, 14.117732426000003, 221.07591870000002, 72.07473922899999, 6.68734693899998, 26.006349205999996, 0.7430385490000049, 10.402539683]"
18,Ripple,1971-04-29,282.373333,110.40261411968592,8,"['G', 'Cm', 'Gm']","[217.728979259, 42.353197279, 22.291156461999996]"
19,Ripple,1980-09-25,302.16,125.9304271305148,8,"['D', 'F', 'G', 'A', 'Cm', 'Dm', 'Em', 'Fm', 'Gbm / F#m', 'Gm', 'Am', 'unknown']","[23.77723356, 4.94458049900004, 212.50902494499996, 2.2291156450000007, 9.659501133000006, 4.458231291999994, 1.4860770980000098, 14.117732426000003, 2.229115645999997, 13.374693878000016, 3.715192744, 9.65950113400001]"
20,Ripple,1980-09-26,278.826667,128.02430473553437,8,"['D', 'F', 'G', 'Cm', 'Dbm / C#m', 'Dm', 'Gm', 'Am']","[14.86077097499998, 7.617596704999983, 130.03174603299993, 92.8798185940001, 1.486077097, 17.089886621000005, 8.173424036, 6.687346938999999]"
21,Ripple,1980-09-26,278.8,128.5996943740581,8,"['C', 'D', 'G', 'A', 'Cm', 'Gm']","[9.659501134, 11.888616779999978, 148.76825397000002, 9.659501134, 86.93551020200002, 11.888616780000007]"
22,Ripple,1980-09-27,281.186667,132.03282746814054,8,"['C', 'G', 'Cm', 'Gm', 'Abm / G#m']","[20.805079366000015, 141.49541983400002, 41.61015872900002, 76.53297052199996, 0.743038549]"
23,Ripple,1980-09-27,278.007052,130.08621487036245,8,"['D', 'G', 'Cm', 'Dm', 'Fm', 'Gm', 'Am']","[31.950657597000017, 150.8368254, 77.27600906699995, 8.91646258499999, 3.0827889610000057, 5.2012698409999985, 0.743038549]"
24,Ripple,1980-09-27,287.84,130.8219200917594,8,"['D', 'F', 'G', 'Bb', 'Cm', 'Dm', 'Gm']","[20.06204081499999, 1.486077098, 160.03736961699994, 1.486077097, 69.845623582, 3.715192743000003, 31.207619048000048]"
25,Ripple,1980-09-29,266.48,125.84839299149982,8,"['C', 'Db / C#', 'D', 'Eb / D#', 'G', 'Ab / G#', 'Cm', 'Dbm / C#m', 'Dm', 'Gm']","[12.631655329000012, 33.436734694000016, 17.832925169999996, 11.145578231999991, 79.97732426300001, 70.58866213099999, 5.9443083899999944, 3.715192743000003, 0.7430385489999978, 30.464580498999993]"
26,Ripple,1980-09-29,279.533333,128.2781105476929,8,"['C', 'D', 'G', 'Em']","[55.727891158000034, 13.374693876999999, 210.27990929599994, 0.15083866900005205]"
27,Ripple,1980-09-30,287.466667,121.0197837323473,8,"['C', 'F', 'G', 'Cm', 'Dm', 'Gm', 'Am']","[58.70004534899998, 21.54811791400001, 171.55265339699997, 20.062040816000007, 2.229115646, 12.631655329, 0.743038549]"
28,Ripple,1980-10-02,281.613333,118.46515878768321,1,"['C', 'F', 'G', 'Ab / G#', 'Cm', 'Dm', 'Em']","[155.29505668999997, 0.7430385480000012, 98.08281145800004, 0.7430385490000013, 19.319002267, 5.201269841999988, 2.229115646000001]"
29,Ripple,1980-10-02,287.066667,116.14410635137652,13,"['D', 'G', 'Cm', 'Em', 'Gm', 'unknown']","[3.7151927439999923, 88.675374483, 159.010249432, 12.631655328999987, 15.603809524000013, 7.430385488000006]"
30,Ripple,1980-10-03,251.813333,130.9812529746995,2,"['Db / C#', 'Eb / D#', 'G', 'Ab / G#', 'Cm', 'Dbm / C#m', 'Gm', 'Bbm']","[162.725442176, 5.201269841, 8.096689010000006, 11.888616780000007, 3.7151927439999994, 40.12408163299999, 5.94430839, 14.117732426000003]"
31,Ripple,1980-10-03,255.546667,134.9558541711262,2,"['C', 'Db / C#', 'Gb / F#', 'Ab / G#', 'Cm', 'Dbm / C#m', 'Am', 'Bbm']","[7.430385486999995, 108.48362811899996, 5.885714618000023, 12.631655329000012, 15.603809524, 99.56716553200002, 0.743038549, 5.201269842000002]"
32,Ripple,1980-10-06,541.84,149.36187620843364,5,"['D', 'E', 'F', 'G', 'A', 'B/Cb', 'Cm', 'Dbm / C#m', 'Em', 'Fm', 'Gbm / F#m', 'Bbm']","[8.916462584999977, 200.62040816200002, 2.9721541949999732, 10.402539682999986, 189.4748299319999, 0.7430385490000617, 0.7430385490000617, 61.67219954800004, 15.025668934000004, 2.97215419500003, 43.09623582699999, 5.2012698409999985]"
33,Ripple,1980-10-06,577.586667,89.15959631813817,3,"['D', 'E', 'G', 'A', 'Cm', 'Dbm / C#m', 'Dm', 'Em', 'Gbm / F#m', 'Am', 'Bm/Cbm']","[173.87102040699997, 3.71519274400003, 7.430385487000052, 115.91401360699992, 20.062040816999996, 1.486077098, 95.35464885700009, 63.90131519199997, 2.229115646000025, 88.421587304, 5.2012698409999985]"
34,Ripple,1980-10-06,278.266667,126.43830060214013,8,"['D', 'G', 'Cm', 'Em', 'Abm / G#m']","[5.2012698409999985, 175.35709750600003, 39.381043083, 56.098140923999956, 2.229115646]"
35,Ripple,1980-10-06,254.773333,131.36305277265447,9,"['Db / C#', 'D', 'G', 'Ab / G#', 'Cm', 'Dbm / C#m', 'Dm', 'Abm / G#m']","[31.207619049000012, 8.173424036, 23.034195010999994, 145.54666633399998, 28.235464851000025, 8.173424036999997, 4.458231292000001, 5.94430839]"
